Role,Choice,Round,Subj
0,0,3,75
0,0,4,75
0,0,5,75
1,1,1,75
1,0,2,75
1,0,3,75
1,1,4,75
1,1,1,75
1,1,2,75
1,0,3,75
1,0,4,75
1,0,5,75
0,1,1,75
0,1,2,75
0,1,3,75
0,1,4,75
0,1,5,75
0,1,6,75
0,0,7,75
0,0,8,75
