0.0 0.0,LSAPT,ASLP,10.0 10.0,other
8.37E-115,1,8.20E-115,8.20E-115,0
4.18E-115,1,4.10E-115,4.10E-115,0
2.09E-115,1,2.05E-115,2.05E-115,0
1.05E-115,1,1.03E-115,1.03E-115,0
5.23E-116,1,5.13E-116,5.13E-116,0
2.62E-116,1,2.56E-116,2.56E-116,0
1.31E-116,1,1.28E-116,1.28E-116,0
6.54E-117,1,6.41E-117,6.41E-117,0
3.27E-117,1,3.20E-117,3.20E-117,0
1.63E-117,1,1.60E-117,1.60E-117,0
8.17E-118,1,8.01E-118,8.01E-118,0
4.09E-118,1,4.01E-118,4.01E-118,0
2.04E-118,1,2.00E-118,2.00E-118,0
1.02E-118,1,1.00E-118,1.00E-118,0
5.11E-119,1,5.01E-119,5.01E-119,0
2.55E-119,1,2.50E-119,2.50E-119,0
1.28E-119,1,1.25E-119,1.25E-119,0
6.39E-120,1,6.26E-120,6.26E-120,0
3.19E-120,1,3.13E-120,3.13E-120,0
1.60E-120,1,1.56E-120,1.56E-120,0
7.98E-121,1,7.82E-121,7.82E-121,0
3.99E-121,1,3.91E-121,3.91E-121,0
2.00E-121,1,1.96E-121,1.96E-121,0
9.98E-122,1,9.78E-122,9.78E-122,0
4.99E-122,1,4.89E-122,4.89E-122,0
2.49E-122,1,2.45E-122,2.45E-122,0
1.25E-122,1,1.22E-122,1.22E-122,0
6.24E-123,1,6.11E-123,6.11E-123,0
3.12E-123,1,3.06E-123,3.06E-123,0
1.56E-123,1,1.53E-123,1.53E-123,0
7.80E-124,1,7.64E-124,7.64E-124,0
3.90E-124,1,3.82E-124,3.82E-124,0
1.95E-124,1,1.91E-124,1.91E-124,0
9.74E-125,1,9.55E-125,9.55E-125,0
4.87E-125,1,4.78E-125,4.78E-125,0
2.44E-125,1,2.39E-125,2.39E-125,0
1.22E-125,1,1.19E-125,1.19E-125,0
6.09E-126,1,5.97E-126,5.97E-126,0
3.04E-126,1,2.98E-126,2.98E-126,0
1.52E-126,1,1.49E-126,1.49E-126,0
7.61E-127,1,7.46E-127,7.46E-127,0
3.81E-127,1,3.73E-127,3.73E-127,0
1.90E-127,1,1.87E-127,1.87E-127,0
9.52E-128,1,9.33E-128,9.33E-128,0
4.76E-128,1,4.66E-128,4.66E-128,0
2.38E-128,1,2.33E-128,2.33E-128,0
1.19E-128,1,1.17E-128,1.17E-128,0
5.95E-129,1,5.83E-129,5.83E-129,0
2.97E-129,1,2.91E-129,2.91E-129,0
1.49E-129,1,1.46E-129,1.46E-129,0
7.43E-130,1,7.29E-130,7.29E-130,0
3.72E-130,1,3.64E-130,3.64E-130,0
1.86E-130,1,1.82E-130,1.82E-130,0
9.29E-131,1,9.11E-131,9.11E-131,0
4.65E-131,1,4.55E-131,4.55E-131,0
2.32E-131,1,2.28E-131,2.28E-131,0
1.16E-131,1,1.14E-131,1.14E-131,0
5.81E-132,1,5.69E-132,5.69E-132,0
2.90E-132,1,2.85E-132,2.85E-132,0
1.45E-132,1,1.42E-132,1.42E-132,0
7.26E-133,1,7.12E-133,7.12E-133,0
3.63E-133,1,3.56E-133,3.56E-133,0
1.81E-133,1,1.78E-133,1.78E-133,0
9.07E-134,1,8.90E-134,8.90E-134,0
4.54E-134,1,4.45E-134,4.45E-134,0
2.27E-134,1,2.22E-134,2.22E-134,0
1.13E-134,1,1.11E-134,1.11E-134,0
5.67E-135,1,5.56E-135,5.56E-135,0
2.84E-135,1,2.78E-135,2.78E-135,0
1.42E-135,1,1.39E-135,1.39E-135,0
7.09E-136,1,6.95E-136,6.95E-136,0
3.54E-136,1,3.47E-136,3.47E-136,0
1.77E-136,1,1.74E-136,1.74E-136,0
8.86E-137,1,8.69E-137,8.69E-137,0
4.43E-137,1,4.34E-137,4.34E-137,0
2.22E-137,1,2.17E-137,2.17E-137,0
1.11E-137,1,1.09E-137,1.09E-137,0
5.54E-138,1,5.43E-138,5.43E-138,0
2.77E-138,1,2.71E-138,2.71E-138,0
1.38E-138,1,1.36E-138,1.36E-138,0
6.92E-139,1,6.79E-139,6.79E-139,0
3.46E-139,1,3.39E-139,3.39E-139,0
1.73E-139,1,1.70E-139,1.70E-139,0
8.65E-140,1,8.48E-140,8.48E-140,0
4.33E-140,1,4.24E-140,4.24E-140,0
2.16E-140,1,2.12E-140,2.12E-140,0
1.08E-140,1,1.06E-140,1.06E-140,0
5.41E-141,1,5.30E-141,5.30E-141,0
2.70E-141,1,2.65E-141,2.65E-141,0
1.35E-141,1,1.33E-141,1.33E-141,0
6.76E-142,1,6.63E-142,6.63E-142,0
3.38E-142,1,3.31E-142,3.31E-142,0
1.69E-142,1,1.66E-142,1.66E-142,0
8.45E-143,1,8.28E-143,8.28E-143,0
4.23E-143,1,4.14E-143,4.14E-143,0
2.11E-143,1,2.07E-143,2.07E-143,0
1.06E-143,1,1.04E-143,1.04E-143,0
5.28E-144,1,5.18E-144,5.18E-144,0
2.64E-144,1,2.59E-144,2.59E-144,0
1.32E-144,1,1.29E-144,1.29E-144,0
6.60E-145,1,6.47E-145,6.47E-145,0
3.30E-145,1,3.24E-145,3.24E-145,0
1.65E-145,1,1.62E-145,1.62E-145,0
8.25E-146,1,8.09E-146,8.09E-146,0
4.13E-146,1,4.04E-146,4.05E-146,0
2.06E-146,1,2.02E-146,2.02E-146,0
1.03E-146,1,1.01E-146,1.01E-146,0
5.16E-147,1,5.06E-147,5.06E-147,0
2.58E-147,1,2.53E-147,2.53E-147,0
1.29E-147,1,1.26E-147,1.26E-147,0
6.45E-148,1,6.32E-148,6.32E-148,0
3.22E-148,1,3.16E-148,3.16E-148,0
1.61E-148,1,1.58E-148,1.58E-148,0
8.06E-149,1,7.90E-149,7.90E-149,0
4.03E-149,1,3.95E-149,3.95E-149,0
2.01E-149,1,1.98E-149,1.98E-149,0
1.01E-149,1,9.88E-150,9.88E-150,0
5.04E-150,1,4.94E-150,4.94E-150,0
2.52E-150,1,2.47E-150,2.47E-150,0
1.26E-150,1,1.23E-150,1.23E-150,0
6.30E-151,1,6.17E-151,6.17E-151,0
3.15E-151,1,3.09E-151,3.09E-151,0
1.57E-151,1,1.54E-151,1.54E-151,0
7.87E-152,1,7.72E-152,7.72E-152,0
3.94E-152,1,3.86E-152,3.86E-152,0
1.97E-152,1,1.93E-152,1.93E-152,0
9.84E-153,1,9.64E-153,9.64E-153,0
4.92E-153,1,4.82E-153,4.82E-153,0
2.46E-153,1,2.41E-153,2.41E-153,0
1.23E-153,1,1.21E-153,1.21E-153,0
6.15E-154,1,6.03E-154,6.03E-154,0
3.07E-154,1,3.01E-154,3.01E-154,0
1.54E-154,1,1.51E-154,1.51E-154,0
7.69E-155,1,7.53E-155,7.53E-155,0
3.84E-155,1,3.77E-155,3.77E-155,0
1.92E-155,1,1.88E-155,1.88E-155,0
9.61E-156,1,9.42E-156,9.42E-156,0
4.80E-156,1,4.71E-156,4.71E-156,0
2.40E-156,1,2.35E-156,2.35E-156,0
1.20E-156,1,1.18E-156,1.18E-156,0
6.01E-157,1,5.89E-157,5.89E-157,0
3.00E-157,1,2.94E-157,2.94E-157,0
1.50E-157,1,1.47E-157,1.47E-157,0
7.51E-158,1,7.36E-158,7.36E-158,0
3.75E-158,1,3.68E-158,3.68E-158,0
1.88E-158,1,1.84E-158,1.84E-158,0
9.38E-159,1,9.20E-159,9.20E-159,0
4.69E-159,1,4.60E-159,4.60E-159,0
2.35E-159,1,2.30E-159,2.30E-159,0
1.17E-159,1,1.15E-159,1.15E-159,0
5.86E-160,1,5.75E-160,5.75E-160,0
2.93E-160,1,2.87E-160,2.87E-160,0
1.47E-160,1,1.44E-160,1.44E-160,0
7.33E-161,1,7.19E-161,7.19E-161,0
3.67E-161,1,3.59E-161,3.59E-161,0
1.83E-161,1,1.80E-161,1.80E-161,0
9.16E-162,1,8.98E-162,8.98E-162,0
4.58E-162,1,4.49E-162,4.49E-162,0
2.29E-162,1,2.25E-162,2.25E-162,0
1.15E-162,1,1.12E-162,1.12E-162,0
5.73E-163,1,5.61E-163,5.61E-163,0
2.86E-163,1,2.81E-163,2.81E-163,0
1.43E-163,1,1.40E-163,1.40E-163,0
7.16E-164,1,7.02E-164,7.02E-164,0
3.58E-164,1,3.51E-164,3.51E-164,0
1.79E-164,1,1.75E-164,1.75E-164,0
8.95E-165,1,8.77E-165,8.77E-165,0
4.47E-165,1,4.39E-165,4.39E-165,0
2.24E-165,1,2.19E-165,2.19E-165,0
1.12E-165,1,1.10E-165,1.10E-165,0
5.59E-166,1,5.48E-166,5.48E-166,0
