id,datestamp,timestamp,version,order,behavior,opponent,reply,payoff,rt,score,met,condition
A1KUJJ0EDGYB61_m4,11/7/2013,20:42:30,lit1p1,35,1,3pun,-2,1,3995,495,5,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:42:35,lit1p1,11,1,4pun,-2,1,4508,508,1,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:42:36,lit1p1,36,1,3pun,-2,1,4179,494,6,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:42:41,lit1p1,37,1,3pun,-2,1,4217,493,7,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:42:42,lit1p1,12,1,4pun,-2,1,5916,507,2,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:42:47,lit1p1,38,2,3pun,0,0,4946,493,8,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:42:51,lit1p1,13,1,5nopun,0,1,6534,508,1,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:42:58,lit1p1,14,1,5nopun,0,1,4835,509,2,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:43:00,lit1p1,39,1,3pun,-2,1,10002,492,9,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:43:04,lit1p1,15,1,5nopun,0,1,4991,510,3,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:43:06,lit1p1,40,1,3pun,-2,1,5061,491,10,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:43:10,lit1p1,16,1,5nopun,0,1,5040,511,4,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:43:12,lit1p1,41,2,7nopun,0,0,4953,491,1,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:43:17,lit1p1,17,1,5nopun,0,1,4998,512,5,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:43:17,lit1p1,42,1,7nopun,0,1,4258,492,2,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:43:22,lit1p1,43,1,7nopun,0,1,4268,493,3,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:43:22,lit1p1,18,1,5nopun,0,1,4500,513,6,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:43:27,lit1p1,44,2,7nopun,0,0,4454,493,4,0
